课程名称,课程代码,课程类别,授课语言,授课教师,计分方式,学分,上课信息,容量/已选,开课学院
体育III,GE231,通识必修课,中文,侯思宇,十三级制,1.0,"1-16周,星期一第5-6节 综合训练馆与学生活动中心一楼篮球馆",36/0,体育中心
体育III,GE231,通识必修课,中文,曾煜民,十三级制,1.0,"1-16周,星期一第5-6节 润杨体育馆羽毛球场",36/2,体育中心
体育III,GE231,通识必修课,中文,周祐民,十三级制,1.0,"1-16周,星期一第7-8节 棒球场",36/4,体育中心
体育III,GE231,通识必修课,中文,魏伟成,十三级制,1.0,"1-16周,星期二第1-2节 风雨操场篮球场",36/3,体育中心
体育III,GE231,通识必修课,中文,董伦红,十三级制,1.0,"1-16周,星期二第3-4节 润杨体育馆四楼体能中心",30/1,体育中心
体育III,GE231,通识必修课,中文,卢阳,十三级制,1.0,"1-16周,星期二第3-4节 风雨操场搏击馆",34/0,体育中心
体育III,GE231,通识必修课,中文,白波,十三级制,1.0,"1-16周,星期二第3-4节 欣园网球场",36/1,体育中心
体育III,GE231,通识必修课,中文,孙颜,十三级制,1.0,"1-16周,星期二第3-4节 松禾体育场足球场",36/3,体育中心
体育III,GE231,通识必修课,中文,曾煜民,十三级制,1.0,"1-16周,星期二第5-6节 润杨体育馆羽毛球场",36/1,体育中心
体育III,GE231,通识必修课,中文,赖莎,十三级制,1.0,"1-16周,星期二第5-6节 沿湖书院舞蹈房",28/3,体育中心
体育III,GE231,通识必修课,中文,沈莉-外聘,十三级制,1.0,"1-16周,星期二第5-6节 润杨体育馆舞蹈房",32/1,体育中心
体育III,GE231,通识必修课,中文,侯思宇,十三级制,1.0,"1-16周,星期二第5-6节 综合训练馆与学生活动中心一楼篮球馆",36/1,体育中心
体育III,GE231,通识必修课,中文,白波,十三级制,1.0,"1-16周,星期二第7-8节 欣园网球场",36/4,体育中心
体育III,GE231,通识必修课,中文,赖莎,十三级制,1.0,"1-16周,星期二第9-10节 沿湖书院舞蹈房",28/7,体育中心
体育III,GE231,通识必修课,中文,梁锡元,十三级制,1.0,"1-16周,星期三第1-2节 田径场",36/12,体育中心
体育III,GE231,通识必修课,中文,曾煜民,十三级制,1.0,"1-16周,星期三第3-4节 润杨体育馆羽毛球场",36/1,体育中心
体育III,GE231,通识必修课,中文,卢阳,十三级制,1.0,"1-16周,星期三第3-4节 风雨操场搏击馆",34/4,体育中心
体育III,GE231,通识必修课,中文,叶梓琪,十三级制,1.0,"1-16周,星期三第3-4节 游泳馆",36/1,体育中心
体育III,GE231,通识必修课,中文,董伦红,十三级制,1.0,"1-16周,星期三第5-6节 润杨体育馆四楼体能中心",30/5,体育中心
体育III,GE231,通识必修课,中文,孙颜,十三级制,1.0,"1-16周,星期三第5-6节 田径场",36/2,体育中心
体育III,GE231,通识必修课,中文,侯思宇,十三级制,1.0,"1-16周,星期三第5-6节 风雨操场排球场",36/2,体育中心
体育III,GE231,通识必修课,中文,车晓曦,十三级制,1.0,"1-16周,星期三第5-6节 综合训练馆与学生活动中心二楼乒乓球馆",32/2,体育中心
体育III,GE231,通识必修课,中文,赵一品,十三级制,1.0,"1-16周,星期三第7-8节 松禾体育场足球场",36/5,体育中心
体育III,GE231,通识必修课,中文,赵洋,十三级制,1.0,"1-16周,星期三第9-10节 综合训练馆与学生活动中心三楼跆拳道馆",36/5,体育中心
体育III,GE231,通识必修课,中文,车晓曦,十三级制,1.0,"1-16周,星期四第1-2节 综合训练馆与学生活动中心二楼乒乓球馆",32/2,体育中心
体育III,GE231,通识必修课,中文,赵一品,十三级制,1.0,"1-16周,星期四第1-2节 欣园网球场",36/1,体育中心
体育III,GE231,通识必修课,中文,卢阳,十三级制,1.0,"1-16周,星期四第1-2节 风雨操场搏击馆",34/3,体育中心
体育III,GE231,通识必修课,中文,王镤,十三级制,1.0,"1-16周,星期四第3-4节 综合训练馆与学生活动中心一楼篮球馆",36/2,体育中心
体育III,GE231,通识必修课,中文,赵飞,十三级制,1.0,"1-16周,星期四第3-4节 润杨体育馆四楼体能中心",36/5,体育中心
体育III,GE231,通识必修课,中文,赵洋,十三级制,1.0,"1-16周,星期四第3-4节 综合训练馆与学生活动中心三楼跆拳道馆",36/2,体育中心
体育III,GE231,通识必修课,中文,赖莎,十三级制,1.0,"1-16周,星期四第9-10节 沿湖书院舞蹈房",28/12,体育中心
体育III,GE231,通识必修课,中文,王鑫,十三级制,1.0,"1-16周,星期五第1-2节 游泳馆",36/4,体育中心
体育III,GE231,通识必修课,中文,王镤,十三级制,1.0,"1-16周,星期五第1-2节 综合训练馆与学生活动中心一楼篮球馆",36/1,体育中心
体育III,GE231,通识必修课,中文,车晓曦,十三级制,1.0,"1-16周,星期五第5-6节 综合训练馆与学生活动中心二楼乒乓球馆",32/4,体育中心
体育III,GE231,通识必修课,中文,赵飞,十三级制,1.0,"1-16周,星期五第3-4节 润杨体育馆四楼体能中心",36/2,体育中心
体育III,GE231,通识必修课,中文,罗林斯特,十三级制,1.0,"1-16周,星期五第3-4节 田径场",36/3,体育中心
体育III,GE231,通识必修课,中文,罗林斯特,十三级制,1.0,"1-16周,星期五第5-6节 欣园军事障碍场",36/10,体育中心
体育III,GE231,通识必修课,中文,刘淑慧-外聘,十三级制,1.0,"1-16周,星期五第7-8节 综合训练馆与学生活动中心二楼舞蹈房",24/5,体育中心
体育III,GE231,通识必修课,中文,王鑫,十三级制,1.0,"1-16周,星期四第3-4节 润杨体育馆舞蹈房",32/1,体育中心
体育III,GE231,通识必修课,中文,王鑫,十三级制,1.0,"1-16周,星期五第3-4节 润杨体育馆舞蹈房",32/0,体育中心
写作与交流,HUM032,通识必修课,中文,杨果,二级制,2.0,"1-16周,星期一第9-10节 智华楼401",35/5,人文科学中心
写作与交流,HUM032,通识必修课,中文,杨果,二级制,2.0,"1-16周,星期二第3-4节 智华楼401",35/0,人文科学中心
写作与交流,HUM032,通识必修课,中文,杨果,二级制,2.0,"1-16周,星期二第5-6节 智华楼401",35/1,人文科学中心
写作与交流,HUM032,通识必修课,中文,杨果,二级制,2.0,"1-16周,星期三第5-6节 智华楼401",35/0,人文科学中心
写作与交流,HUM032,通识必修课,中文,杨莉,二级制,2.0,"1-16周,星期二第3-4节 智华楼403",35/2,人文科学中心
写作与交流,HUM032,通识必修课,中文,杨莉,二级制,2.0,"1-16周,星期二第7-8节 智华楼403",35/1,人文科学中心
写作与交流,HUM032,通识必修课,中文,杨莉,二级制,2.0,"1-16周,星期四第3-4节 智华楼403",35/1,人文科学中心
写作与交流,HUM032,通识必修课,中文,杨莉,二级制,2.0,"1-16周,星期五第3-4节 智华楼403",35/2,人文科学中心
写作与交流,HUM032,通识必修课,中文,陈劲松,二级制,2.0,"1-16周,星期一第3-4节 智华楼402",35/0,人文科学中心
写作与交流,HUM032,通识必修课,中文,陈劲松,二级制,2.0,"1-16周,星期二第5-6节 智华楼402",35/0,人文科学中心
写作与交流,HUM032,通识必修课,中文,陈劲松,二级制,2.0,"1-16周,星期三第3-4节 智华楼402",35/0,人文科学中心
写作与交流,HUM032,通识必修课,中文,陈劲松,二级制,2.0,"1-16周,星期三第5-6节 智华楼402",35/0,人文科学中心
写作与交流,HUM032,通识必修课,中文,周秀梅,二级制,2.0,"1-16周,星期三第3-4节 智华楼404",35/2,人文科学中心
写作与交流,HUM032,通识必修课,中文,周秀梅,二级制,2.0,"1-16周,星期三第7-8节 智华楼404",35/6,人文科学中心
写作与交流,HUM032,通识必修课,中文,周秀梅,二级制,2.0,"1-16周,星期四第3-4节 智华楼404",35/0,人文科学中心
写作与交流,HUM032,通识必修课,中文,周秀梅,二级制,2.0,"1-16周,星期五第3-4节 智华楼404",35/1,人文科学中心
写作与交流,HUM032,通识必修课,中文,袁博,二级制,2.0,"1-16周,星期一第7-8节 智华楼402",35/1,人文科学中心
写作与交流,HUM032,通识必修课,中文,袁博,二级制,2.0,"1-16周,星期一第9-10节 智华楼402",35/0,人文科学中心
写作与交流,HUM032,通识必修课,中文,袁博,二级制,2.0,"1-16周,星期二第9-10节 智华楼402",35/1,人文科学中心
写作与交流,HUM032,通识必修课,中文,袁博,二级制,2.0,"1-16周,星期三第9-10节 智华楼402",33/1,人文科学中心
习近平新时代中国特色社会主义思想概论,IPE100,通识必修课,中文,高玉林,十三级制,2.0,"1-16周,星期二第1-2节 一教327",100/3,马克思主义学院
习近平新时代中国特色社会主义思想概论,IPE100,通识必修课,中文,高玉林,十三级制,2.0,"1-16周,星期二第3-4节 一教327",100/1,马克思主义学院
习近平新时代中国特色社会主义思想概论,IPE100,通识必修课,中文,杨少曼,十三级制,2.0,"1-16周,星期一第3-4节 智华楼204",70/9,马克思主义学院
习近平新时代中国特色社会主义思想概论,IPE100,通识必修课,中文,杨少曼,十三级制,2.0,"1-16周,星期一第5-6节 商学院101",90/16,马克思主义学院
